date,open,close,high,low,volumefrom,volumeto
2023-10-09,27933.57,27598.77,27999.8,27282.89,21887.87,603964078.09
2023-10-10,27598.77,27395.4,27735.72,27298.5,18600.95,511109469.33
2023-10-11,27395.4,26871.21,27475.69,26531.55,30496.51,821395574.15
2023-10-12,26871.21,26756.23,26937.98,26549.78,16400.37,438531983.5
2023-10-13,26756.23,26862.9,27110.91,26674.97,18507.04,496779424.55
2023-10-14,26862.9,26854.52,26982.78,26810.02,5865.21,157685357.78
2023-10-15,26854.52,27177.41,27297.26,26813.06,10978.68,297110024.59
2023-10-16,27177.41,28518.37,30009.15,27131.48,66720.48,1884462991.7
2023-10-17,28518.37,28409.46,28628.83,28094.14,26038.83,739741149.31
2023-10-18,28409.46,28328.07,28988.79,28156.7,23999.55,682875511.71
2023-10-19,28328.07,28733.78,28927.17,28135.5,25550.36,730081363.3
2023-10-20,28733.78,29684.37,30243.12,28596.96,42016.08,1241026952.55
2023-10-21,29684.37,29924.08,30365.61,29480.22,15637.83,467626116.49
2023-10-22,29924.08,30001.44,30232.64,29674.58,13845.91,414432274.92
2023-10-23,30001.44,33084.08,34739.17,29898.26,73249.41,2308556876.22
2023-10-24,33084.08,33923.52,35183.22,32857.8,75112.67,2559949343.79
2023-10-25,33923.52,34503.4,35136.87,33698.9,43002.87,1481128342.82
2023-10-26,34503.4,34157.06,34836.51,33746.16,36463.09,1248469956.72
2023-10-27,34157.06,33907.7,34246.78,33406.13,30792.41,1044635721.14
2023-10-28,33907.7,34090.05,34494.4,33876.07,10888.97,371696781.35
2023-10-29,34090.05,34535.38,34761.09,33947.8,13639.48,469534963.71
2023-10-30,34535.38,34494.56,34862.12,34090.22,23948.89,825552244.82
2023-10-31,34494.56,34657.73,34726.05,34058.4,21982.74,756326173.72
2023-11-01,34657.73,35439.76,35623.76,34096.9,34274.26,1190955576.06
2023-11-02,35439.76,34947.15,35973.2,34323.19,31205.25,1097011932.14
2023-11-03,34947.15,34732.28,34950.21,34118.29,27811.97,960199464.71
2023-11-04,34732.28,35086.09,35278.07,34606.38,10840.41,377653497.47
2023-11-05,35086.09,35039.47,35393.84,34489.02,15210.52,533016306.01
2023-11-06,35039.47,35054.59,35288.36,34758.64,17520.44,613732584.95
2023-11-07,35054.59,35421.85,35929.83,34537.87,28810.78,1012278827.62
2023-11-08,35421.85,35638.33,36109.43,35120.46,26404.64,937630450.49
2023-11-09,35638.33,36704.14,37990.51,35557.78,62530.57,2296501186.4
2023-11-10,36704.14,37321.51,37536.44,36342.27,32545.3,1206040827.09
2023-11-11,37321.51,37142.22,37417.29,36701.83,14920.5,553215494.09
2023-11-12,37142.22,37079.76,37233.45,36747.05,9320.87,345567975.97
2023-11-13,37079.76,36482.51,37429.52,36358.0,24368.53,897671274.64
2023-11-14,36482.51,35551.21,36752.31,34788.17,33896.65,1219819360.84
2023-11-15,35551.21,37884.19,37977.31,35374.22,39005.98,1436101057.95
2023-11-16,37884.19,36162.42,37951.14,35512.38,38917.77,1428319260.74
2023-11-17,36162.42,36626.32,36780.63,35873.7,28253.69,1027029255.11
2023-11-18,36626.32,36591.19,36853.45,36212.85,8649.03,316037508.01
2023-11-19,36591.19,37388.64,37529.1,36411.61,11668.93,430198062.65
2023-11-20,37388.64,37476.66,37770.11,36767.05,31117.45,1162294169.25
2023-11-21,37476.66,35758.72,37665.29,35753.93,42793.3,1579350547.76
2023-11-22,35758.72,37424.2,37866.63,35656.41,36262.61,1335151412.8
2023-11-23,37424.2,37299.18,37646.06,36892.34,16793.76,626668140.1
2023-11-24,37299.18,37737.05,38432.07,37262.39,34951.5,1322597274.57
2023-11-25,37737.05,37801.92,37907.84,37616.03,8271.55,312424824.64
2023-11-26,37801.92,37460.21,37829.46,37159.52,12751.26,478214999.45
2023-11-27,37460.21,37246.29,37568.17,36727.3,24674.21,914744666.52
2023-11-28,37246.29,37836.63,38410.41,36879.99,33506.06,1265755538.49
2023-11-29,37836.63,37861.9,38456.97,37589.12,27433.75,1041457987.13
2023-11-30,37861.9,37729.58,38149.78,37505.7,16874.61,637264648.28
2023-12-01,37729.58,38699.84,38982.35,37626.12,32942.59,1268612412.23
2023-12-02,38699.84,39469.35,39712.52,38659.45,17299.38,677167721.21
2023-12-03,39469.35,39980.93,40203.23,39288.91,16087.63,638707315.07
2023-12-04,39980.93,41984.41,42399.42,39980.36,48574.89,2012390115.57
2023-12-05,41984.41,44089.06,44639.18,41368.51,52083.86,2234743414.43
2023-12-06,44089.06,43771.01,44286.67,43386.17,39080.76,1715623988.73
2023-12-07,43771.01,43285.02,44050.53,42856.57,30381.14,1320509439.92
2023-12-08,43285.02,44186.18,44735.52,43094.02,29502.75,1292562850.41
2023-12-09,44186.18,43723.0,44373.02,43597.57,15066.31,662982186.27
2023-12-10,43723.0,43791.67,44047.82,43584.51,11497.59,503801762.3
2023-12-11,43791.67,41235.58,43808.9,40180.77,58689.61,2446801856.72
2023-12-12,41235.58,41472.94,42080.61,40648.18,31480.37,1305859570.88
2023-12-13,41472.94,42887.55,43461.75,40579.83,36203.68,1517574126.2
2023-12-14,42887.55,43030.6,43416.91,41433.23,34166.34,1460749070.58
2023-12-15,43030.6,41939.16,43091.28,41662.1,25157.34,1065004798.33
2023-12-16,41939.16,42243.26,42678.86,41640.84,13495.73,570286280.98
2023-12-17,42243.26,41349.42,42372.05,41228.17,18460.88,772939037.53
2023-12-18,41349.42,42650.27,42744.41,40512.69,32860.71,1362661202.35
2023-12-19,42650.27,42268.08,43454.44,41796.54,30940.15,1318306822.38
2023-12-20,42268.08,43669.91,44303.12,42195.52,41481.09,1805958609.9
2023-12-21,43669.91,43875.01,44245.16,43306.15,29872.95,1306652594.38
2023-12-22,43875.01,44008.04,44417.78,43426.51,24740.39,1084076406.5
2023-12-23,44008.04,43732.75,44024.62,43338.34,10973.31,479555333.8
2023-12-24,43732.75,43023.12,43965.2,42635.13,14281.15,621424795.87
2023-12-25,43023.12,43593.79,43808.21,42763.83,14747.02,639501515.36
2023-12-26,43593.79,42517.32,43604.51,41616.59,30529.57,1297798884.96
2023-12-27,42517.32,43469.34,43694.83,42121.77,27420.29,1178861473.09
2023-12-28,43469.34,42588.94,43817.61,42283.91,29112.04,1249335317.05
2023-12-29,42588.94,42073.59,43134.59,41296.86,34268.41,1450476730.93
2023-12-30,42073.59,42146.03,42595.81,41529.95,21511.57,905852574.49
2023-12-31,42146.03,42280.14,42863.11,41970.37,21509.24,912867128.16
2024-01-01,42280.14,44197.61,44210.89,42187.32,19499.59,839894208.67
2024-01-02,44197.61,44970.34,45918.98,44181.86,57443.36,2596745174.99
2024-01-03,44970.34,42854.08,45513.73,40214.67,82056.19,3533041051.83
2024-01-04,42854.08,44194.38,44797.03,42657.44,49538.94,2167748750.23
2024-01-05,44194.38,44178.89,44377.15,42508.08,54169.3,2368276569.22
2024-01-06,44178.89,43988.33,44248.4,43444.9,16352.13,717065469.35
2024-01-07,43988.33,43950.84,44496.47,43639.57,20056.41,884154712.5
2024-01-08,43950.84,46988.14,47295.94,43209.8,66057.64,3000303504.99
2024-01-09,46988.14,46123.0,47923.17,44889.64,66281.93,3083632967.78
2024-01-10,46123.0,46667.48,47705.84,44326.32,80226.64,3677964834.63
2024-01-11,46667.48,46353.15,49054.05,45580.11,77548.89,3638877778.74
2024-01-12,46353.15,42776.42,46512.17,41454.57,87031.78,3855256978.62
2024-01-13,42776.42,42839.19,43243.47,42438.36,23024.72,986309535.03
2024-01-14,42839.19,41704.39,43060.49,41702.53,21730.6,924871801.97
2024-01-15,41704.39,42491.26,43325.88,41687.69,24561.1,1046074902.52
2024-01-16,42491.26,43130.88,43562.19,42047.82,36429.24,1565259395.93
2024-01-17,43130.88,42739.27,43183.19,42172.64,32911.24,1403011843.2
2024-01-18,42739.27,41286.68,42876.35,40606.86,45180.42,1885882508.36
2024-01-19,41286.68,41625.47,42151.57,40246.58,45191.13,1864062474.18
2024-01-20,41625.47,41677.08,41846.45,41433.27,13096.14,544668570.57
2024-01-21,41677.08,41570.17,41862.83,41493.59,9176.94,382561229.54
2024-01-22,41570.17,39523.63,41669.9,39396.81,56109.4,2270442343.15
2024-01-23,39523.63,39876.44,40136.09,38512.34,46007.49,1805745649.27
2024-01-24,39876.44,40078.62,40526.25,39429.31,37009.85,1476062916.95
2024-01-25,40078.62,39941.74,40280.91,39523.94,29183.88,1164224625.52
2024-01-26,39941.74,41816.55,42227.71,39814.87,42739.48,1763833855.75
2024-01-27,41816.55,42124.02,42191.83,41393.22,10632.46,444567824.09
2024-01-28,42124.02,42028.92,42822.8,41632.18,16615.66,702267432.76
2024-01-29,42028.92,43302.28,43308.42,41804.05,27783.74,1184671101.99
2024-01-30,43302.28,42943.64,43855.77,42690.4,34500.06,1498626265.1
2024-01-31,42943.64,42555.08,43734.38,42276.82,39491.24,1695950546.73
2024-02-01,42555.08,43073.2,43267.39,41855.88,29018.49,1234469121.23
2024-02-02,43073.2,43181.71,43452.76,42536.21,26779.09,1152442855.72
2024-02-03,43181.71,42999.52,43355.76,42874.37,7556.6,325725942.96
2024-02-04,42999.52,42570.21,43093.79,42232.02,9589.32,410404369.06
2024-02-05,42570.21,42664.56,43518.7,41931.59,24867.17,1062866796.14
2024-02-06,42664.56,43091.51,43360.05,42526.92,22482.95,966265875.57
2024-02-07,43091.51,44339.04,44402.0,42766.8,30331.77,1319628672.43
2024-02-08,44339.04,45304.61,45622.13,44333.87,39654.68,1785332802.43
2024-02-09,45304.61,47154.23,48208.27,45257.22,50590.41,2379925849.32
2024-02-10,47154.23,47768.12,48166.14,46894.61,16452.46,780554926.36
2024-02-11,47768.12,48311.16,48597.46,47592.04,19858.95,956986637.1
2024-02-12,48311.16,49942.97,50339.2,47718.59,47112.86,2319184140.26
2024-02-13,49942.97,49733.11,50392.92,48336.83,42027.05,2075339722.8
2024-02-14,49733.11,51844.19,52085.66,49272.58,43948.58,2252886326.88
2024-02-15,51844.19,51934.57,52845.45,51357.81,42990.13,2239765884.49
2024-02-16,51934.57,52163.28,52598.05,51604.88,32295.2,1680749372.19
2024-02-17,52163.28,51668.78,52201.89,50647.34,17696.94,910308869.83
2024-02-18,51668.78,52139.33,52393.59,51194.3,14716.3,762533081.81
2024-02-19,52139.33,51781.22,52487.6,51691.25,18980.36,989270690.85
2024-02-20,51781.22,52269.59,52985.95,50766.77,39504.32,2050493239.79
2024-02-21,52269.59,51854.36,52375.42,50633.49,32665.42,1676374071.14
2024-02-22,51854.36,51263.67,52056.01,50914.97,30501.44,1573393306.75
2024-02-23,51263.67,50744.07,51509.58,50523.07,26365.93,1345274652.99
2024-02-24,50744.07,51574.61,51687.88,50583.66,10707.22,548313000.54
2024-02-25,51574.61,51727.63,51957.87,51288.57,12394.68,640224439.02
2024-02-26,51727.63,54518.58,54939.87,50920.53,47961.27,2550669499.35
2024-02-27,54518.58,57071.6,57612.94,54483.19,62683.92,3546751167.69
2024-02-28,57071.6,62507.1,64086.08,56726.31,102181.72,6171823618.31
2024-02-29,62507.1,61179.58,63652.76,60370.98,84709.08,5259277822.5
2024-03-01,61179.58,62431.25,63226.77,60795.21,52747.33,3267402863.37
2024-03-02,62431.25,62038.39,62479.07,61631.05,20264.53,1257238241.46
2024-03-03,62038.39,63149.43,63254.84,61392.4,20301.48,1265273119.48
2024-03-04,63149.43,68338.64,68562.03,62363.97,79177.16,5220774005.79
2024-03-05,68338.64,63804.11,69244.55,59268.68,126873.13,8263897912.84
2024-03-06,63804.11,66115.57,67645.97,62851.27,68031.77,4498440968.53
2024-03-07,66115.57,66928.15,68065.89,65610.94,41800.64,2804368120.13
2024-03-08,66928.15,68269.39,70151.23,66173.73,59361.92,4046244830.74
2024-03-09,68269.39,68446.32,68663.92,68026.81,16947.1,1158711168.05
2024-03-10,68446.32,69023.53,69976.84,68218.19,27686.99,1919585405.6
2024-03-11,69023.53,72095.86,72872.77,67170.42,62709.74,4476609937.75
2024-03-12,72095.86,71449.5,72996.99,68636.43,58546.01,4173072731.62
2024-03-13,71449.5,73118.09,73672.14,71329.7,41314.41,3008299520.61
2024-03-14,73118.09,71366.96,73802.64,68493.91,60699.01,4325873413.25
2024-03-15,71366.96,69497.39,72394.97,65579.78,73358.94,5016358153.02
2024-03-16,69497.39,65260.55,70043.23,64783.87,33956.52,2295869354.32
2024-03-17,65260.55,68364.45,68873.88,64529.3,29362.49,1962751757.05
2024-03-18,68364.45,67609.44,68925.18,66584.49,38542.52,2602930945.01
2024-03-19,67609.44,61924.02,68116.53,61529.15,75848.91,4863914201.82
2024-03-20,61924.02,67857.3,68139.33,60782.8,69671.19,4466872469.25
2024-03-21,67857.3,65493.22,68229.38,64548.09,38234.75,2542747734.72
2024-03-22,65493.22,63816.99,66643.64,62321.3,37343.35,2395884490.04
2024-03-23,63816.99,64004.42,66005.71,63025.99,19360.47,1250716141.79
2024-03-24,64004.42,67208.33,67623.78,63802.82,19120.87,1253420264.9
2024-03-25,67208.33,69892.26,71202.65,66400.46,46100.6,3184570068.52
2024-03-26,69892.26,69990.22,71558.85,69294.69,32990.33,2319265484.04
2024-03-27,69990.22,69434.46,71762.06,68384.71,40450.72,2817965870.72
2024-03-28,69434.46,70789.57,71593.93,68864.89,31346.01,2214217706.88
2024-03-29,70789.57,69903.72,70925.04,69059.03,17382.89,1216001428.98
2024-03-30,69903.72,69629.99,70356.07,69586.01,7371.14,515940317.66
2024-03-31,69629.99,71312.91,71389.78,69601.39,10567.65,745658086.55
2024-04-01,71312.91,69686.37,71325.61,68074.92,28892.19,2005923775.26
2024-04-02,69686.37,65466.81,69703.1,64571.71,48905.67,3234216304.99
2024-04-03,65466.81,65986.11,66925.93,64514.87,27792.87,1835055534.78
2024-04-04,65986.11,68523.79,69343.32,65081.42,36673.5,2475521298.64
2024-04-05,68523.79,67860.53,68772.34,65994.65,32904.8,2219856764.99
2024-04-06,67860.53,68913.79,69672.09,67483.82,11314.76,772361130.33
2024-04-07,68913.79,69357.32,70303.08,68877.35,13691.75,951477284.85
2024-04-08,69357.32,71629.36,72750.51,69064.41,36459.33,2607488940.79
2024-04-09,71629.36,69129.48,71748.92,68213.24,34538.71,2411758700.3
2024-04-10,69129.48,70628.54,71150.5,67480.7,37142.44,2563902180.98
2024-04-11,70628.54,70026.43,71297.81,69558.05,24988.45,1758820969.32
2024-04-12,70026.43,67158.3,71246.69,65257.57,49331.17,3367653179.18
2024-04-13,67158.3,64021.36,68422.6,61079.47,56915.71,3689543158.77
2024-04-14,64021.36,65765.64,65874.88,62229.8,40968.04,2627998512.52
2024-04-15,65765.64,63447.27,66902.94,62328.07,40978.19,2658417494.41
2024-04-16,63447.27,63824.7,64385.46,61667.72,35542.55,2234500815.41
2024-04-17,63824.7,61283.74,64503.77,59682.79,41504.19,2562816108.8
2024-04-18,61283.74,63511.2,64181.25,60829.27,31452.84,1972785716.37
2024-04-19,63511.2,63848.26,65491.94,59607.49,46058.39,2923364930.21
2024-04-20,63848.26,64979.21,65453.07,63140.68,13464.03,866105478.99
2024-04-21,64979.21,64955.82,65724.22,64271.77,13150.64,854324202.42
2024-04-22,64955.82,66854.24,67257.68,64536.42,22839.75,1510230897.53
2024-04-23,66854.24,66415.06,67211.15,65835.93,17575.6,1169300050.32
2024-04-24,66415.06,64263.95,67067.52,63556.97,28785.93,1878460968.73
2024-04-25,64263.95,64488.49,65279.7,62759.65,26730.52,1713069016.97
2024-04-26,64488.49,63750.63,64795.15,63307.56,19914.4,1275865834.83
2024-04-27,63750.63,63434.44,63904.85,62408.97,12684.85,799665556.56
2024-04-28,63434.44,63111.34,64335.08,62769.01,10104.62,642628554.25
2024-04-29,63111.34,63847.54,64192.54,61768.51,21849.86,1370557060.16
2024-04-30,63847.54,60633.97,64721.13,59097.29,41212.82,2518380270.05
2024-05-01,60633.97,58277.44,60788.52,56516.09,52053.76,3014503800.73
2024-05-02,58277.44,59083.85,59628.08,56936.28,29471.89,1724718703.27
2024-05-03,59083.85,62917.45,63355.83,58835.76,35180.41,2147038663.01
2024-05-04,62917.45,63904.51,64539.14,62587.84,16206.9,1029192793.92
2024-05-05,63904.51,64037.5,64634.43,62923.47,12595.62,803966989.59
2024-05-06,64037.5,63168.44,65517.33,62715.9,24082.55,1537928462.74
2024-05-07,63168.44,62323.36,64403.15,62274.09,20907.17,1326416673.48
2024-05-08,62323.36,61179.81,63004.6,60867.52,18593.4,1155791451.43
2024-05-09,61179.81,63077.18,63429.98,60623.94,18440.55,1140626858.17
2024-05-10,63077.18,60790.82,63469.13,60181.24,25390.35,1565941805.66
2024-05-11,60790.82,60823.19,61489.54,60474.73,8298.11,505608099.69
2024-05-12,60823.19,61459.22,61838.51,60600.9,8214.5,502848342.69
2024-05-13,61459.22,62932.29,63445.72,60758.38,21250.01,1327733464.12
2024-05-14,62932.29,61548.48,63097.07,61094.77,26392.04,1636519845.72
2024-05-15,61548.48,66245.16,66467.29,61325.48,40708.36,2625073579.59
2024-05-16,66245.16,65250.53,66760.54,64600.05,24275.96,1596664354.59
2024-05-17,65250.53,67051.35,67489.24,65120.39,23340.48,1552274385.82
2024-05-18,67051.35,66927.56,67397.7,66633.01,8752.24,586174043.35
2024-05-19,66927.56,66268.25,67696.21,65878.18,9725.64,650338446.5
2024-05-20,66268.25,71430.23,71546.4,66071.74,38260.49,2624709812.32
2024-05-21,71430.23,70141.17,71964.79,69158.99,30747.6,2169803609.99
2024-05-22,70141.17,69123.56,70643.89,68952.24,22981.44,1603267534.2
2024-05-23,69123.56,67946.35,70037.76,66370.0,28168.79,1922285401.83
2024-05-24,67946.35,68548.33,69264.17,66613.35,18239.62,1242012319.42
2024-05-25,68548.33,69288.95,69599.81,68498.87,5972.0,412212332.66
2024-05-26,69288.95,68488.29,69511.53,68156.05,5502.87,379159635.92
2024-05-27,68488.29,69386.83,70613.89,68227.32,13110.64,909946343.46
2024-05-28,69386.83,68330.84,69533.54,67206.37,22223.83,1514489243.92
2024-05-29,68330.84,67576.81,68858.38,67099.33,16353.37,1108570253.28
2024-05-30,67576.81,68346.19,69520.94,67107.22,20828.64,1424914242.82
2024-05-31,68346.19,67482.25,69012.82,66605.09,19922.04,1349659294.8
2024-06-01,67482.25,67721.6,67831.31,67383.55,4400.74,297719480.73
2024-06-02,67721.6,67738.74,68409.58,67279.96,6731.43,456585602.02
2024-06-03,67738.74,68799.6,70283.97,67584.62,22783.46,1575608100.17
2024-06-04,68799.6,70548.51,71090.99,68553.54,29746.55,2084571763.56
2024-06-05,70548.51,71117.68,71782.2,70371.34,21737.62,1545204312.75
2024-06-06,71117.68,70772.35,71642.27,70113.83,16078.4,1141567996.37
2024-06-07,70772.35,69330.51,71943.4,68439.15,28318.21,1992355199.22
2024-06-08,69330.51,69303.58,69547.91,69152.66,5753.02,399100009.36
2024-06-09,69303.58,69639.42,69837.26,69131.01,5137.66,357128157.69
2024-06-10,69639.42,69505.57,70172.0,69166.61,12116.49,843477987.58
2024-06-11,69505.57,67319.41,69550.65,66054.78,31800.9,2141818771.53
2024-06-12,67319.41,68247.0,70021.47,66896.79,31159.85,2139401386.85
2024-06-13,68247.0,66742.54,68428.43,66224.61,23051.5,1550737143.4
2024-06-14,66742.54,66006.13,67317.79,65026.62,24684.72,1633598669.38
2024-06-15,66006.13,66188.81,66419.48,65832.26,6139.62,406250537.71
2024-06-16,66188.81,66631.59,66916.83,66012.05,6512.06,433017008.55
2024-06-17,66631.59,66481.73,67264.71,65062.53,28974.78,1917243316.16
2024-06-18,66481.73,65158.02,66570.67,64033.69,35263.17,2293594296.72
2024-06-19,65158.02,64950.82,65708.56,64656.84,13478.88,878187235.08
2024-06-20,64950.82,64847.89,66462.52,64527.9,22559.77,1473091625.51
2024-06-21,64847.89,64119.34,65018.39,63350.87,22310.94,1427909531.59
2024-06-22,64119.34,64250.18,64500.0,63924.68,5570.5,358155105.44
2024-06-23,64250.18,63181.02,64504.84,63154.88,6504.7,416250575.81
2024-06-24,63181.02,60270.95,63335.53,58443.98,48177.24,2938115761.51
2024-06-25,60270.95,61796.56,62385.37,60232.04,31697.13,1946492862.08
2024-06-26,61796.56,60824.43,62471.55,60684.69,23423.63,1436803387.64
2024-06-27,60824.43,61630.1,62341.3,60562.27,22562.67,1385461549.94
2024-06-28,61630.1,60324.3,62168.03,59907.92,24288.31,1481619028.88
2024-06-29,60324.3,60905.3,61129.31,60294.22,9214.26,560710968.57
2024-06-30,60905.3,62685.88,62949.76,60637.5,12626.61,778765578.43
2024-07-01,62685.88,62841.27,63800.98,62462.2,25708.72,1623104957.15
2024-07-02,62841.27,62044.48,63219.74,61453.08,20510.77,1278702453.96
2024-07-03,62044.48,60157.2,62198.73,59373.07,27365.92,1653064013.62
2024-07-04,60157.2,57041.11,60428.43,56728.63,40351.82,2342236881.51
2024-07-05,57041.11,56646.24,57494.97,53528.09,57490.15,3198812323.21
2024-07-06,56646.24,58255.65,58495.08,56035.03,18766.95,1072779742.28
2024-07-07,58255.65,55866.6,58452.39,55734.13,18402.28,1053256457.42
2024-07-08,55866.6,56709.76,58166.93,54305.08,43439.51,2441024283.07
2024-07-09,56709.76,58047.2,58289.53,56296.1,29452.6,1692558128.7
2024-07-10,58047.2,57725.78,59463.57,57165.19,28064.27,1631984559.89
2024-07-11,57725.78,57348.75,59494.11,57072.63,29764.17,1729366992.27
2024-07-12,57348.75,57913.68,58543.78,56554.34,27242.71,1567843358.24
2024-07-13,57913.68,59231.06,59866.89,57784.15,13963.3,819172857.7
2024-07-14,59231.06,60818.77,61424.95,59222.6,20080.87,1207899406.9
2024-07-15,60818.77,64765.55,64936.75,60688.12,43679.34,2752990856.54
2024-07-16,64765.55,65087.61,65399.48,62434.72,38850.8,2492930912.34
2024-07-17,65087.61,64096.64,66131.67,63872.53,28170.64,1830962929.69
2024-07-18,64096.64,63981.43,65118.55,63235.08,21904.27,1405605268.54
2024-07-19,63981.43,66708.49,67468.45,63305.25,33756.81,2214983951.52
2024-07-20,66708.49,67163.86,67626.82,66291.51,12566.25,840850489.36
2024-07-21,67163.86,68176.98,68370.58,65840.58,18123.31,1219084237.52
2024-07-22,68176.98,67567.71,68490.59,66594.51,26712.99,1805561349.3
2024-07-23,67567.71,65939.83,67774.86,65465.88,29465.67,1958486045.34
2024-07-24,65939.83,65375.53,67120.99,65112.45,21576.01,1426727978.64
2024-07-25,65375.53,65794.0,66154.31,63429.11,29473.48,1902596712.12
2024-07-26,65794.0,67925.17,68219.43,65734.24,24567.97,1654021251.63
2024-07-27,67925.17,67904.55,69416.52,66675.48,26420.73,1801405015.15
2024-07-28,67904.55,68252.75,68306.74,67054.94,11980.7,812380984.29
2024-07-29,68252.75,66782.78,70027.05,66436.99,33524.03,2292001706.95
2024-07-30,66782.78,66180.04,66989.18,65293.95,24376.6,1614525200.12
2024-07-31,66180.04,64617.83,66826.66,64508.96,24304.84,1601329476.94
2024-08-01,64617.83,65300.21,65590.04,62238.44,37045.09,2364449721.14
2024-08-02,65300.21,61422.3,65548.28,61165.12,40943.43,2601345982.92
2024-08-03,61422.3,60679.28,62154.66,59838.49,26176.07,1596127875.28
2024-08-04,60679.28,58135.89,61075.03,57174.97,28092.97,1665780997.48
