date,open,close,high,low,volumefrom,volumeto
2023-10-09,1633.61,1580.25,1636.39,1547.88,213202.04,339017511.32
2023-10-10,1580.25,1567.68,1594.87,1551.22,161967.57,254975021.38
2023-10-11,1567.68,1566.52,1578.37,1545.6,188645.12,294808400.58
2023-10-12,1566.52,1539.43,1567.96,1521.78,167816.78,259081681.89
2023-10-13,1539.43,1552.12,1573.36,1537.64,144951.05,224374179.99
2023-10-14,1552.12,1555.02,1561.42,1545.01,49919.63,77502622.78
2023-10-15,1555.02,1557.99,1566.8,1548.99,62753.06,97772202.07
2023-10-16,1557.99,1600.09,1640.11,1555.34,280738.92,446574747.49
2023-10-17,1600.09,1565.4,1601.37,1553.3,151475.09,238856568.1
2023-10-18,1565.4,1563.66,1585.93,1556.22,143924.79,226187063.01
2023-10-19,1563.66,1567.55,1575.26,1542.75,153441.72,239202217.14
2023-10-20,1567.55,1604.86,1631.26,1562.17,229023.77,367271257.58
2023-10-21,1604.86,1629.44,1644.6,1593.24,137236.81,222184082.89
2023-10-22,1629.44,1664.18,1668.32,1622.28,157183.18,257522472.2
2023-10-23,1664.18,1766.32,1799.36,1658.04,457998.91,780661240.02
2023-10-24,1766.32,1785.2,1854.43,1746.5,517541.13,932151066.26
2023-10-25,1785.2,1787.67,1817.52,1760.54,302831.01,542177185.66
2023-10-26,1787.67,1803.72,1865.88,1763.34,344775.19,622443034.73
2023-10-27,1803.72,1779.98,1804.16,1745.3,226527.41,403162777.61
2023-10-28,1779.98,1776.59,1803.03,1771.67,84407.79,150723329.54
2023-10-29,1776.59,1795.69,1811.49,1763.3,92197.88,165219418.28
2023-10-30,1795.69,1809.85,1830.35,1778.41,168252.25,303881269.37
2023-10-31,1809.85,1815.45,1819.86,1782.09,182002.83,328080843.27
2023-11-01,1815.45,1847.63,1857.88,1784.08,282652.25,514586090.27
2023-11-02,1847.63,1801.34,1874.87,1785.57,274296.45,501202295.02
2023-11-03,1801.34,1833.71,1835.48,1777.57,220360.86,397766768.21
2023-11-04,1833.71,1857.23,1870.53,1825.2,111595.25,205289548.49
2023-11-05,1857.23,1893.28,1913.61,1847.68,196043.45,369431668.22
2023-11-06,1893.28,1901.65,1915.3,1870.95,216485.51,410308088.3
2023-11-07,1901.65,1886.12,1907.78,1851.17,286201.17,538999159.16
2023-11-08,1886.12,1889.05,1905.07,1873.92,181125.66,342300115.53
2023-11-09,1889.05,2121.13,2131.61,1883.26,629555.35,1255720592.59
2023-11-10,2121.13,2078.52,2136.09,2066.23,369744.07,775967652.37
2023-11-11,2078.52,2053.53,2090.87,2032.5,222199.13,458212190.26
2023-11-12,2053.53,2045.4,2066.66,2014.15,198302.57,406409439.52
2023-11-13,2045.4,2054.32,2118.47,2030.13,327291.63,677275855.69
2023-11-14,2054.32,1979.66,2065.29,1930.94,332952.38,672516247.43
2023-11-15,1979.66,2059.63,2063.09,1967.9,318254.59,641189379.56
2023-11-16,2059.63,1961.54,2092.27,1930.36,388947.79,783609970.96
2023-11-17,1961.54,1961.61,1991.18,1906.37,292696.22,571715090.11
2023-11-18,1961.61,1963.67,1972.15,1918.15,124677.25,243248653.35
2023-11-19,1963.67,2012.46,2016.3,1944.72,142484.86,280987485.15
2023-11-20,2012.46,2022.62,2067.57,1995.32,348477.96,706775221.8
2023-11-21,2022.62,1933.76,2035.52,1932.84,322140.51,640934598.31
2023-11-22,1933.76,2064.08,2092.34,1930.15,311184.99,632049361.21
2023-11-23,2064.08,2062.63,2088.81,2040.7,167576.88,345465511.14
2023-11-24,2062.63,2082.24,2133.82,2059.8,274783.65,576843379.99
2023-11-25,2082.24,2084.06,2091.51,2067.12,82529.48,171820574.07
2023-11-26,2084.06,2063.01,2095.12,2037.74,129845.35,268817596.0
2023-11-27,2063.01,2027.67,2071.85,1986.06,266169.84,538765882.42
2023-11-28,2027.67,2049.1,2075.82,1995.65,244541.64,499177888.15
2023-11-29,2049.1,2029.17,2075.4,2019.91,192819.29,394195647.34
2023-11-30,2029.17,2052.93,2055.28,2021.3,168503.05,343390100.77
2023-12-01,2052.93,2088.21,2111.43,2046.0,288439.68,602439017.29
2023-12-02,2088.21,2165.6,2189.14,2087.29,185471.76,395659097.47
2023-12-03,2165.6,2193.78,2217.45,2150.33,186813.18,406014985.22
2023-12-04,2193.78,2243.25,2273.89,2192.42,385897.57,861288624.2
2023-12-05,2243.25,2293.88,2309.38,2189.0,375596.22,844781771.01
2023-12-06,2293.88,2232.96,2312.02,2220.51,317773.47,721010308.06
2023-12-07,2232.96,2356.77,2383.16,2222.53,348732.95,803734991.96
2023-12-08,2356.77,2358.94,2391.56,2339.41,305258.55,720748174.99
2023-12-09,2358.94,2341.13,2403.29,2330.43,198992.16,469803736.49
2023-12-10,2341.13,2352.31,2377.41,2322.8,136086.14,319769603.62
2023-12-11,2352.31,2224.1,2354.9,2133.47,445434.99,991604563.0
2023-12-12,2224.1,2202.33,2242.96,2165.58,295298.97,651964538.12
2023-12-13,2202.33,2260.72,2284.2,2145.57,334848.88,739438151.2
2023-12-14,2260.72,2316.03,2332.24,2231.57,317672.75,724615038.72
2023-12-15,2316.03,2220.32,2318.06,2201.14,249807.39,564042261.96
2023-12-16,2220.32,2227.14,2261.92,2210.47,134448.38,301358311.22
2023-12-17,2227.14,2194.84,2245.8,2190.85,152730.31,338828172.15
2023-12-18,2194.84,2218.75,2222.91,2115.85,274538.09,595550230.79
2023-12-19,2218.75,2177.38,2253.93,2135.19,285016.52,627857676.22
2023-12-20,2177.38,2202.03,2265.11,2157.77,361405.83,799599916.57
2023-12-21,2202.03,2239.88,2279.1,2183.31,315319.45,702166382.68
2023-12-22,2239.88,2326.53,2343.73,2231.32,393077.37,904108088.07
2023-12-23,2326.53,2309.54,2332.23,2267.35,192582.36,441823544.27
2023-12-24,2309.54,2265.42,2326.83,2245.12,191626.92,439156963.98
2023-12-25,2265.42,2271.75,2304.59,2254.36,156954.53,357468201.78
2023-12-26,2271.75,2230.94,2275.06,2174.17,270459.64,603300122.32
2023-12-27,2230.94,2380.34,2393.37,2212.66,392451.76,910568561.01
2023-12-28,2380.34,2345.44,2447.35,2337.42,463684.99,1106269642.94
2023-12-29,2345.44,2299.64,2386.68,2256.07,355338.55,827517118.66
2023-12-30,2299.64,2291.65,2322.76,2268.2,174599.67,401063000.08
2023-12-31,2291.65,2281.36,2319.95,2259.29,205152.64,470583638.73
2024-01-01,2281.36,2352.65,2352.66,2265.26,174286.19,402344005.13
2024-01-02,2352.65,2356.28,2432.62,2343.68,345621.3,822251765.93
2024-01-03,2356.28,2210.57,2385.27,2092.33,526602.95,1186045453.16
2024-01-04,2210.57,2269.47,2296.81,2203.62,322407.35,726479158.46
2024-01-05,2269.47,2270.21,2277.99,2208.01,283754.94,636927548.08
2024-01-06,2270.21,2241.73,2271.59,2218.09,153695.94,344776545.69
