date,open,close,high,low,volumefrom,volumeto
2023-10-09,65.4,63.1,65.41,61.63,162523.67,10294886.84
2023-10-10,63.1,63.62,63.83,62.59,112061.68,7086259.44
2023-10-11,63.62,61.53,63.75,61.12,226166.37,14045669.8
2023-10-12,61.53,61.13,61.55,60.37,135312.35,8255427.2
2023-10-13,61.13,61.58,62.11,61.06,118956.87,7312644.57
2023-10-14,61.58,61.62,61.98,61.4,67469.06,4162790.77
2023-10-15,61.62,61.64,62.17,61.4,75603.16,4664338.31
2023-10-16,61.64,63.24,66.3,61.58,315949.74,20091397.6
2023-10-17,63.24,62.09,63.36,61.43,159653.17,9979453.77
2023-10-18,62.09,60.21,62.81,60.01,175161.35,10747052.05
2023-10-19,60.21,61.8,61.95,59.77,165023.31,10074881.23
2023-10-20,61.8,63.42,64.29,61.63,284362.24,17968372.89
2023-10-21,63.42,64.75,65.38,63.38,155446.7,10026341.03
2023-10-22,64.75,65.29,66.34,63.26,199136.9,12886353.1
2023-10-23,65.29,69.04,69.91,64.93,473684.98,31816978.25
2023-10-24,69.04,69.13,72.82,67.2,412224.71,28681966.88
2023-10-25,69.13,68.73,70.41,67.75,262450.47,18146864.54
2023-10-26,68.73,68.77,70.61,66.22,297946.53,20465887.19
2023-10-27,68.77,67.03,69.05,65.71,227138.13,15332004.95
2023-10-28,67.03,67.75,68.4,66.99,188955.31,12831404.37
2023-10-29,67.75,68.81,69.31,67.05,151213.99,10323187.36
2023-10-30,68.81,69.25,69.8,67.68,194530.91,13397823.32
2023-10-31,69.25,68.92,70.53,67.69,217710.92,15052203.08
2023-11-01,68.92,69.97,70.47,66.55,347527.02,23778539.97
2023-11-02,69.97,69.45,70.79,67.46,336023.58,23459171.57
2023-11-03,69.45,69.5,69.57,67.54,134456.86,9258395.67
2023-11-04,69.5,70.51,74.64,68.8,141022.17,9869379.28
2023-11-05,70.51,71.68,72.38,69.98,231077.83,16475571.16
2023-11-06,71.68,74.47,74.96,70.89,208550.18,15255780.73
2023-11-07,74.47,73.46,74.53,71.1,226667.18,16567499.8
2023-11-08,73.46,73.1,74.32,72.49,177142.81,13005379.67
2023-11-09,73.1,73.87,76.24,69.46,509569.12,37212329.38
2023-11-10,73.87,73.3,75.42,70.82,313552.02,22913635.67
2023-11-11,73.3,75.27,75.95,70.95,403611.64,29972649.94
2023-11-12,75.27,74.91,76.82,72.23,244424.69,18309696.91
2023-11-13,74.91,71.15,76.08,70.55,287488.24,21032896.54
2023-11-14,71.15,70.64,72.54,68.04,379251.7,26829644.06
2023-11-15,70.64,74.14,74.41,70.56,216433.2,15696377.41
2023-11-16,74.14,70.97,74.38,69.83,271400.0,19597294.71
2023-11-17,70.97,70.31,71.65,68.07,408697.34,28672624.48
2023-11-18,70.31,69.91,70.36,67.56,115440.41,8003091.24
2023-11-19,69.91,70.6,70.72,68.56,111314.74,7765814.66
2023-11-20,70.6,69.56,71.05,68.73,141087.77,9897127.39
2023-11-21,69.56,66.21,71.87,65.32,303093.83,20872786.37
2023-11-22,66.21,68.73,69.13,66.06,140565.41,9534208.36
2023-11-23,68.73,69.53,70.71,68.44,175772.83,12214032.17
2023-11-24,69.53,70.78,71.77,69.46,153106.16,10775513.72
2023-11-25,70.78,71.88,72.22,70.59,105556.12,7549155.36
2023-11-26,71.88,70.05,71.9,68.98,111365.12,7846163.87
2023-11-27,70.05,69.23,70.51,67.96,143006.97,9883516.68
2023-11-28,69.23,69.78,70.26,67.84,172553.53,11937511.22
2023-11-29,69.78,70.01,70.47,69.17,98436.78,6872172.8
2023-11-30,70.01,69.44,70.16,69.12,117108.25,8142287.4
2023-12-01,69.44,71.62,72.32,69.24,242477.26,17267737.16
2023-12-02,71.62,72.23,72.72,71.27,142770.23,10275691.18
2023-12-03,72.23,72.32,72.75,71.38,129355.88,9314520.8
2023-12-04,72.32,72.9,75.05,71.9,483804.46,35439186.52
2023-12-05,72.9,74.35,74.38,71.26,263076.81,19109895.65
2023-12-06,74.35,72.43,74.86,72.18,261459.18,19226166.2
2023-12-07,72.43,74.04,74.5,71.92,229343.44,16849671.02
2023-12-08,74.04,78.53,78.87,73.37,449127.39,34249328.24
2023-12-09,78.53,76.34,79.53,75.84,284806.26,22141542.45
2023-12-10,76.34,77.17,78.99,76.34,197266.59,15337657.94
2023-12-11,77.17,72.66,77.51,70.74,370514.39,27181085.54
2023-12-12,72.66,72.34,73.69,70.99,173198.65,12560449.47
2023-12-13,72.34,73.17,74.04,70.21,253741.48,18346212.91
2023-12-14,73.17,72.94,74.03,71.38,350334.24,25443480.76
2023-12-15,72.94,70.93,72.97,70.65,214150.56,15395878.85
2023-12-16,70.93,72.15,72.49,70.49,130293.66,9379715.53
2023-12-17,72.15,71.14,73.54,70.83,163755.55,11864809.78
2023-12-18,71.14,70.85,71.49,68.07,217978.2,15213091.12
2023-12-19,70.85,70.69,71.61,69.7,133381.58,9454687.04
2023-12-20,70.69,69.8,71.87,69.39,352044.93,24963342.73
2023-12-21,69.8,70.93,71.08,68.96,308831.47,21631922.4
2023-12-22,70.93,73.67,73.83,70.36,330369.94,23843683.57
2023-12-23,73.67,72.51,74.15,71.47,218120.8,15791943.01
2023-12-24,72.51,71.17,72.98,70.12,204348.45,14720322.54
2023-12-25,71.17,72.24,72.77,70.62,140170.96,10097018.37
2023-12-26,72.24,73.25,74.41,71.1,322722.77,23451433.66
2023-12-27,73.25,76.03,77.27,72.1,487284.88,36634356.63
2023-12-28,76.03,76.54,77.6,74.55,440688.9,33561238.38
2023-12-29,76.54,73.23,77.83,72.91,435478.89,32904812.89
2023-12-30,73.23,73.24,73.99,72.42,250697.87,18371519.08
2023-12-31,73.24,72.82,74.2,71.59,181195.5,13298831.14
2024-01-01,72.82,74.74,74.81,72.06,167784.39,12329474.65
2024-01-02,74.74,72.98,75.92,72.55,255506.09,18998554.26
2024-01-03,72.98,65.29,73.63,59.75,547951.27,36518838.45
2024-01-04,65.29,66.49,67.16,64.6,352178.56,23214617.35
2024-01-05,66.49,66.05,66.79,63.58,363093.61,23742254.58
2024-01-06,66.05,65.69,66.14,63.31,175180.9,11415654.61
2024-01-07,65.69,64.31,66.39,63.75,168884.62,11029667.15
2024-01-08,64.31,67.79,68.41,61.14,470959.08,30666145.45
2024-01-09,67.79,67.01,67.84,64.3,423195.12,27926816.06
2024-01-10,67.01,70.1,71.21,65.05,455858.19,30834638.51
2024-01-11,70.1,71.9,74.62,69.59,509741.21,36710138.23
2024-01-12,71.9,72.92,77.1,70.44,673154.34,49709734.75
2024-01-13,72.92,72.0,73.55,71.02,239196.24,17209216.69
2024-01-14,72.0,69.74,72.27,69.45,244223.28,17374189.51
2024-01-15,69.74,69.08,71.57,68.76,198047.17,13908864.33
2024-01-16,69.08,69.42,70.49,68.36,211987.08,14767116.03
2024-01-17,69.42,69.4,69.94,68.32,192389.14,13317062.27
2024-01-18,69.4,68.03,70.25,66.22,300369.74,20575647.8
2024-01-19,68.03,71.24,71.47,66.92,311285.19,21596939.57
2024-01-20,71.24,71.31,72.73,70.43,270033.57,19276210.0
2024-01-21,71.31,71.66,72.26,70.47,152400.4,10854627.46
2024-01-22,71.66,67.3,72.64,66.63,421226.23,29466974.01
2024-01-23,67.3,65.46,68.36,63.16,318205.58,20811729.38
2024-01-24,65.46,66.11,66.32,64.86,196147.33,12838102.26
2024-01-25,66.11,65.48,66.13,64.57,171183.44,11206377.63
2024-01-26,65.48,67.02,67.53,65.19,170626.05,11352046.14
2024-01-27,67.02,68.08,68.32,66.36,129161.74,8711456.14
2024-01-28,68.08,68.37,68.48,67.34,145024.72,9859221.98
2024-01-29,68.37,68.44,68.77,66.85,197984.04,13456429.22
2024-01-30,68.44,67.5,68.73,67.19,163082.14,11122629.18
2024-01-31,67.5,66.73,69.96,66.16,224942.33,15309005.11
2024-02-01,66.73,67.52,68.08,65.73,154142.81,10305856.36
2024-02-02,67.52,68.02,68.36,67.33,129649.55,8795118.17
2024-02-03,68.02,68.81,69.15,67.89,114731.95,7843508.58
2024-02-04,68.81,66.93,68.86,66.53,161002.82,10906711.27
2024-02-05,66.93,67.63,68.17,66.59,132428.03,8941164.38
2024-02-06,67.63,68.27,68.78,67.5,159528.78,10860572.17
2024-02-07,68.27,68.61,68.78,67.69,316170.48,21560445.72
2024-02-08,68.61,70.55,70.66,68.38,222620.37,15386161.39
2024-02-09,70.55,70.68,71.94,70.13,325216.42,23060355.49
2024-02-10,70.68,70.82,71.22,70.0,135690.67,9591150.63
2024-02-11,70.82,71.57,73.09,70.67,203010.47,14639026.05
2024-02-12,71.57,72.86,73.44,70.34,187666.86,13515767.29
2024-02-13,72.86,69.01,73.18,68.17,372119.02,26017874.34
2024-02-14,69.01,69.89,70.78,68.49,347043.43,24165523.12
2024-02-15,69.89,69.83,70.95,69.09,293484.14,20539682.54
2024-02-16,69.83,70.64,70.98,68.89,247688.74,17356210.93
2024-02-17,70.64,70.01,70.76,68.15,190797.2,13307291.12
2024-02-18,70.01,70.8,71.34,69.88,165588.43,11666498.11
2024-02-19,70.8,71.32,71.73,70.5,203920.93,14493613.42
2024-02-20,71.32,69.66,71.46,67.59,328720.58,22939548.72
2024-02-21,69.66,68.94,69.7,67.33,214962.88,14721240.42
2024-02-22,68.94,68.76,69.75,67.95,292108.0,20170680.4
2024-02-23,68.76,68.78,69.09,67.51,188465.14,12901254.62
2024-02-24,68.78,70.4,70.65,68.65,155857.33,10896026.81
2024-02-25,70.4,70.15,70.58,69.76,132005.04,9260274.16
2024-02-26,70.15,71.96,73.03,69.13,351274.32,24993871.27
2024-02-27,71.96,74.01,76.39,71.96,565544.07,42187714.78
2024-02-28,74.01,74.57,77.95,70.53,776916.14,57909996.11
2024-02-29,74.57,79.94,84.94,74.0,1034723.5,84061294.2
2024-03-01,79.94,84.96,86.18,79.94,599779.57,50325936.83
2024-03-02,84.96,94.64,94.66,84.51,938748.34,85021715.09
2024-03-03,94.64,90.76,94.82,84.56,579682.99,52735042.57
2024-03-04,90.76,89.03,92.66,87.62,903270.73,81238752.35
2024-03-05,89.03,82.03,91.97,72.1,1242774.5,105817085.49
2024-03-06,82.03,85.94,87.4,79.88,506232.61,42419512.16
2024-03-07,85.94,88.14,89.73,83.48,485769.59,42241823.96
2024-03-08,88.14,88.53,89.6,84.2,608874.45,53299046.8
2024-03-09,88.53,90.86,91.12,87.02,328203.31,29267881.13
2024-03-10,90.86,87.53,90.97,85.53,291802.02,25796121.84
2024-03-11,87.53,103.82,105.68,83.39,1245276.62,121757114.07
2024-03-12,103.82,97.56,104.21,91.79,733631.82,71807991.47
2024-03-13,97.56,97.28,98.97,94.16,447732.48,43455538.86
2024-03-14,97.28,94.08,98.19,89.56,652194.6,61655353.06
2024-03-15,94.08,89.76,95.35,83.39,662882.37,58637983.14
2024-03-16,89.76,84.07,90.71,82.26,427439.26,37080304.11
2024-03-17,84.07,85.85,86.74,80.67,306301.37,26016373.67
2024-03-18,85.85,86.78,88.06,80.77,444501.1,37344466.06
2024-03-19,86.78,78.46,87.8,77.1,960656.03,77678790.42
2024-03-20,78.46,84.69,85.36,76.98,648096.64,52672507.36
2024-03-21,84.69,85.73,87.13,83.62,386721.68,33039442.91
2024-03-22,85.73,83.41,86.17,80.61,330623.09,27511883.98
2024-03-23,83.41,85.28,87.48,82.91,332345.92,28486151.19
